Time;source;dest;direction;
1465073229000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465069178000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465065128000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465058378000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465057027000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465055677000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465051778000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465026128000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465022077000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465019074000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465016077000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1465013227000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464994925000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464986075000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464977975000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464976625000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464975275000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464973925000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464972576000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464966124000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464963275000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464959225000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464957874000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
1464956525000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;3;
