Time;source;dest;direction;
1468327969000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-60-03-82;2;
1468326662000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468323855000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468320770000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-58-32-36;2;
1468315751000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468313570000;00-17-0d-00-00-60-06-27;00-17-0d-00-00-60-03-82;2;
1468306370000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468302830000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468291969000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-60-03-82;2;
1468283040000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468281230000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468280236000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468277569000;00-17-0d-00-00-60-05-69;00-17-0d-00-00-60-03-82;2;
1468277042000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468274031000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468263170000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-58-32-36;2;
1468261438000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468260809000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468258142000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468256793000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468256670000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468254371000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468250993000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468249653000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468248769000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-58-32-36;2;
1468241569000;00-17-0d-00-00-60-06-27;00-17-0d-00-00-30-60-ef;2;
1468234370000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-30-60-ef;2;
1468230829000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468221838000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468219969000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-3f-fe-87;2;
1468217196000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468209096000;00-17-0d-00-00-b0-00-aa;00-17-0d-00-00-b0-00-87;3;
1468202350000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468202031000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468198595000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468198369000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-30-60-ef;2;
1468195598000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468194829000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468193501000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468183319000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468180660000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468180429000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468176768000;00-17-0d-00-00-60-02-4b;00-17-0d-00-00-3f-fe-88;2;
1468174090000;00-17-0d-00-00-b0-00-cc;00-17-0d-00-00-60-3c-d9;2;
1468173248000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468169588000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468169569000;00-17-0d-00-00-3f-f8-20;00-17-0d-00-00-58-32-36;2;
1468165453000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-b0-00-aa;2;
1468163295000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-b0-00-cc;3;
1468155169000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-60-03-82;2;
